arm,outcome,model,AUROC
clinical,stillbirth,logistic,0.719
clinical,stillbirth,lightgbm,0.746
clinical,stillbirth,xgboost,0.748
clinical,stillbirth,random_forest,0.747
clinical,stillbirth,catboost,0.748
clinical,stillbirth,mlp,0.741
clinical,stillbirth,naive_bayes,0.674
clinical,stillbirth,svm,0.717
clinical,neonatal,logistic,0.735
clinical,neonatal,lightgbm,0.764
clinical,neonatal,xgboost,0.767
clinical,neonatal,random_forest,0.756
clinical,neonatal,catboost,0.76
clinical,neonatal,mlp,0.752
clinical,neonatal,naive_bayes,0.71
clinical,neonatal,svm,0.731
clinical,perinatal,logistic,0.71
clinical,perinatal,lightgbm,0.732
clinical,perinatal,xgboost,0.732
clinical,perinatal,random_forest,0.731
clinical,perinatal,catboost,0.733
clinical,perinatal,mlp,0.73
clinical,perinatal,naive_bayes,0.664
clinical,perinatal,svm,0.707
survey,stillbirth,logistic,0.628
survey,stillbirth,lightgbm,0.655
survey,stillbirth,xgboost,0.656
survey,stillbirth,random_forest,0.643
survey,stillbirth,catboost,0.655
survey,stillbirth,mlp,0.645
survey,stillbirth,naive_bayes,0.593
survey,stillbirth,svm,0.625
survey,neonatal,logistic,0.638
survey,neonatal,lightgbm,0.655
survey,neonatal,xgboost,0.655
survey,neonatal,random_forest,0.642
survey,neonatal,catboost,0.654
survey,neonatal,mlp,0.651
survey,neonatal,naive_bayes,0.608
survey,neonatal,svm,0.638
survey,perinatal,logistic,0.613
survey,perinatal,lightgbm,0.638
survey,perinatal,xgboost,0.64
survey,perinatal,random_forest,0.63
survey,perinatal,catboost,0.637
survey,perinatal,mlp,0.631
survey,perinatal,naive_bayes,0.601
survey,perinatal,svm,0.611
