arm,outcome,model,subgroup_var,subgroup_level,N,events,AUROC,calibration_slope,calibration_intercept,TPR,FPR,positive_rate,equal_opportunity_diff,demographic_parity_diff,equalised_odds_diff
survey,stillbirth,svm,mat_age_cat,20-34,176646.0,2386.0,0.578245129278071,0.7161471037174284,-1.1903933136820943,0.42162615255658004,0.31868472397566855,0.32007517860579915,,,
survey,stillbirth,svm,mat_age_cat,<20,32856.0,296.0,0.5576884047745534,0.9298560964976295,-0.19038694519071822,0.030405405405405407,0.013544226044226044,0.013696128560993425,,,
survey,stillbirth,svm,mat_age_cat,>=35,45071.0,1200.0,0.6157044611854452,0.9272825457729311,-0.24921604712610448,0.9616666666666667,0.8960133117549178,0.8977613099332165,,,
survey,stillbirth,svm,mat_urban_rural,Rural,166613.0,2401.0,0.595191955466635,0.7603214996209933,-0.9828396177599045,0.5035401915868388,0.367725866562736,0.3696830379382161,,,
survey,stillbirth,svm,mat_urban_rural,Urban,71025.0,932.0,0.6264067147699357,0.9363544765366626,-0.2069442564215307,0.44313304721030045,0.26817228539226456,0.2704681450193594,,,
survey,stillbirth,svm,hh_wealth_quintile,Q1,63746.0,917.0,0.6050371043121268,0.7269356189659761,-1.1564590582725165,0.5441657579062159,0.3903133903133903,0.3925265899036802,,,
survey,stillbirth,svm,hh_wealth_quintile,Q2,56364.0,891.0,0.6419185475272822,1.0281146863637893,0.16704133023938952,0.5824915824915825,0.388459250446163,0.39152650628060465,,,
survey,stillbirth,svm,hh_wealth_quintile,Q3,51225.0,744.0,0.6027444212482372,0.6902714904171842,-1.295515202934511,0.5349462365591398,0.38240129949882135,0.38461688628599316,,,
survey,stillbirth,svm,hh_wealth_quintile,Q4,45284.0,716.0,0.6254222096370972,0.8378198720393032,-0.5973453644119139,0.5516759776536313,0.36714683180757496,0.3700644819362247,,,
survey,stillbirth,svm,hh_wealth_quintile,Q5,37696.0,612.0,0.6557186810653503,1.0532336575438728,0.31276073585106684,0.5816993464052288,0.36277100636393056,0.3663253395585739,,,
survey,stillbirth,svm,mat_age_cat,_DISPARITY_,,,,,,,,,0.9312612612612613,0.884065181372223,0.9312612612612613
survey,stillbirth,svm,mat_urban_rural,_DISPARITY_,,,,,,,,,0.06040714437653838,0.09921489291885671,0.09955358117047142
survey,stillbirth,svm,hh_wealth_quintile,_DISPARITY_,,,,,,,,,0.04754534593244275,0.02620125034510634,0.04754534593244275
survey,stillbirth,lightgbm,mat_age_cat,20-34,176646.0,2386.0,0.6189175285477309,0.7963092213120739,-0.8084629521294842,0.6014249790444258,0.4284632158843108,0.4307994520113674,,,
survey,stillbirth,lightgbm,mat_age_cat,<20,32856.0,296.0,0.609426256723554,0.5898947922081019,-1.755011207371494,0.1891891891891892,0.1019041769041769,0.10269052836620404,,,
survey,stillbirth,lightgbm,mat_age_cat,>=35,45071.0,1200.0,0.6522419612804207,0.8326043559219797,-0.6438305971703234,0.935,0.8364295320371088,0.8390539371214306,,,
