arm,outcome,model,threshold,Sensitivity,Specificity,PPV,NPV,F1,F2,MCC,Accuracy
clinical,neonatal,catboost,0.0108,0.6253,0.7655,0.0333,0.9937,0.0632,0.1372,0.1028,0.7638
clinical,neonatal,lightgbm,0.0124,0.5849,0.8061,0.0375,0.9934,0.0705,0.1492,0.1099,0.8033
clinical,neonatal,logistic,0.0161,0.5499,0.8212,0.0382,0.993,0.0714,0.1494,0.1075,0.8177
clinical,neonatal,mlp,0.013,0.5481,0.839,0.0421,0.9931,0.0782,0.1611,0.1167,0.8353
clinical,neonatal,naive_bayes,0.0128,0.5912,0.7351,0.028,0.9929,0.0535,0.1177,0.0826,0.7333
clinical,neonatal,random_forest,0.0166,0.5121,0.8736,0.0497,0.9928,0.0907,0.1791,0.1282,0.869
clinical,neonatal,svm,0.0133,0.5436,0.8174,0.037,0.9928,0.0693,0.1455,0.1038,0.8139
clinical,neonatal,xgboost,0.0103,0.6433,0.7544,0.0327,0.9939,0.0623,0.1359,0.1029,0.753
clinical,perinatal,catboost,0.0616,0.6331,0.7144,0.122,0.9688,0.2046,0.3445,0.1776,0.7096
clinical,perinatal,lightgbm,0.0553,0.6572,0.6947,0.1189,0.97,0.2013,0.3449,0.1769,0.6925
clinical,perinatal,logistic,0.0607,0.6783,0.6394,0.1055,0.9694,0.1825,0.3251,0.1543,0.6417
clinical,perinatal,mlp,0.0641,0.6314,0.7105,0.1203,0.9685,0.202,0.3413,0.1742,0.7058
clinical,perinatal,naive_bayes,0.0601,0.7219,0.5266,0.0872,0.968,0.1557,0.294,0.1171,0.5381
clinical,perinatal,random_forest,0.0555,0.6608,0.6852,0.1163,0.9699,0.1977,0.3412,0.1727,0.6838
clinical,perinatal,svm,0.0582,0.6854,0.6188,0.1013,0.9691,0.1765,0.3183,0.1464,0.6228
clinical,perinatal,xgboost,0.0555,0.6505,0.6984,0.1191,0.9696,0.2013,0.3437,0.1759,0.6955
clinical,stillbirth,catboost,0.0489,0.667,0.7073,0.103,0.9768,0.1784,0.3183,0.1728,0.7054
clinical,stillbirth,lightgbm,0.0524,0.6444,0.731,0.1077,0.9761,0.1845,0.3227,0.1773,0.7269
clinical,stillbirth,logistic,0.0495,0.6969,0.6285,0.0863,0.9763,0.1536,0.2886,0.1427,0.6318
clinical,stillbirth,mlp,0.046,0.698,0.656,0.0927,0.9773,0.1637,0.3027,0.1575,0.658
clinical,stillbirth,naive_bayes,0.0497,0.7642,0.4998,0.0714,0.9768,0.1307,0.26,0.1128,0.5124
clinical,stillbirth,random_forest,0.0457,0.6855,0.6847,0.0987,0.9774,0.1725,0.3131,0.1678,0.6847
clinical,stillbirth,svm,0.0478,0.6845,0.6313,0.0855,0.9754,0.152,0.2851,0.1387,0.6338
clinical,stillbirth,xgboost,0.0505,0.6525,0.7249,0.1067,0.9764,0.1834,0.3225,0.1771,0.7214
survey,neonatal,catboost,0.0246,0.5488,0.6738,0.0442,0.9819,0.0817,0.167,0.0762,0.6705
survey,neonatal,lightgbm,0.024,0.5673,0.6532,0.043,0.9821,0.0799,0.1649,0.0744,0.6509
survey,neonatal,logistic,0.0253,0.5413,0.6591,0.0418,0.9813,0.0776,0.1596,0.0679,0.6559
survey,neonatal,mlp,0.0285,0.4789,0.7338,0.0471,0.9809,0.0857,0.1689,0.0771,0.727
survey,neonatal,naive_bayes,0.0251,0.4739,0.6871,0.0399,0.9794,0.0736,0.1493,0.0558,0.6814
survey,neonatal,random_forest,0.0268,0.4251,0.7804,0.0505,0.9802,0.0902,0.1711,0.0794,0.771
survey,neonatal,svm,0.0266,0.5141,0.6854,0.0429,0.9809,0.0793,0.1609,0.069,0.6808
survey,neonatal,xgboost,0.026,0.4987,0.7232,0.0471,0.9813,0.0861,0.171,0.0794,0.7172
survey,perinatal,catboost,0.0288,0.6225,0.5663,0.0459,0.9781,0.0855,0.1773,0.0674,0.5681
survey,perinatal,lightgbm,0.0319,0.527,0.6626,0.0498,0.9766,0.0909,0.1806,0.0707,0.6582
survey,perinatal,logistic,0.0313,0.5149,0.6417,0.046,0.9753,0.0844,0.1694,0.0577,0.6376
survey,perinatal,mlp,0.032,0.513,0.6668,0.0491,0.9761,0.0896,0.1775,0.0673,0.6618
survey,perinatal,naive_bayes,0.0327,0.3686,0.7726,0.0516,0.9733,0.0905,0.1653,0.0593,0.7595
survey,perinatal,random_forest,0.0289,0.5611,0.6184,0.047,0.9768,0.0867,0.176,0.0653,0.6166
survey,perinatal,svm,0.0315,0.5051,0.6509,0.0463,0.9751,0.0848,0.1693,0.0578,0.6462
survey,perinatal,xgboost,0.0293,0.595,0.5979,0.0473,0.9778,0.0876,0.1793,0.0695,0.5978
survey,stillbirth,catboost,0.0146,0.5837,0.6339,0.0241,0.9899,0.0463,0.1034,0.0552,0.6331
survey,stillbirth,lightgbm,0.013,0.6731,0.5426,0.0223,0.9908,0.0431,0.0984,0.053,0.5445
survey,stillbirth,logistic,0.0144,0.5755,0.604,0.022,0.9892,0.0424,0.0954,0.0449,0.6035
survey,stillbirth,mlp,0.014,0.5976,0.6051,0.0229,0.9898,0.0441,0.0993,0.0508,0.605
survey,stillbirth,naive_bayes,0.0146,0.5162,0.6157,0.0204,0.988,0.0392,0.088,0.0332,0.6142
survey,stillbirth,random_forest,0.0132,0.5829,0.6134,0.0228,0.9896,0.0439,0.0986,0.0493,0.613
survey,stillbirth,svm,0.0148,0.5587,0.6199,0.0223,0.9891,0.0428,0.096,0.045,0.619
survey,stillbirth,xgboost,0.0136,0.6412,0.5775,0.023,0.9905,0.0443,0.1004,0.0542,0.5785
